Title,Journal,Year,Volume,Issue,DOI
"""Angel"" financing and public policy: An overview",JOURNAL OF BANKING & FINANCE,1998,22,6-8,10.1016/S0378-4266(98)00043-0
"""Clicks and bricks"": e-Risk Management for banks in the age of the Internet",JOURNAL OF BANKING & FINANCE,2001,25,11,10.1016/S0378-4266(01)00197-2
"""Crises"" in medical malpractice insurance: Evidence of excessive price-cutting in the preceding soft market",JOURNAL OF BANKING & FINANCE,2008,32,1,10.1016/j.jbankfin.2007.09.009
"""Grand"" corruption and the ethics of global business",JOURNAL OF BANKING & FINANCE,2002,26,9,10.1016/S0378-4266(02)00197-8
"""Hot Hands"" in bond funds",JOURNAL OF BANKING & FINANCE,2008,32,4,10.1016/j.jbankfin.2007.04.023
"""New"" data sources for research on small business finance",JOURNAL OF BANKING & FINANCE,1998,22,6-8,10.1016/S0378-4266(98)00015-6
"""The first shall be last"". Size and value strategy premia at the London Stock Exchange",JOURNAL OF BANKING & FINANCE,2000,24,6,10.1016/S0378-4266(99)00111-9
"""the real thing"": Nominal price rigidity of the nickel Coke, 1886-1959",JOURNAL OF MONEY CREDIT AND BANKING,2004,36,4,10.1353/mcb.2004.0065
"""Time for a Change"": Loan Conditions and Bank Behavior when Firms Switch Banks",JOURNAL OF FINANCE,2010,65,5,10.1111/j.1540-6261.2010.01596.x
"""Water seeks a level"": Modeling bimetallic exchange rates and the bimetallic band",JOURNAL OF MONEY CREDIT AND BANKING,2002,34,2,10.1353/mcb.2002.0038
"""You Can Enter but You Cannot Leave..."": US Securities markets and foreign firms",JOURNAL OF FINANCE,2008,63,5,10.1111/j.1540-6261.2008.01402.x
A barrier option framework for corporate security valuation,JOURNAL OF FINANCIAL ECONOMICS,2003,67,3,10.1016/S0304-405X(02)00260-X
A Bayesian analysis of return dynamics with Levy jumps,REVIEW OF FINANCIAL STUDIES,2008,21,5,10.1093/rfs/hhl036
A Bayesian approach to detecting nonlinear risk exposures in hedge fund strategies,JOURNAL OF BANKING & FINANCE,2011,35,6,10.1016/j.jbankfin.2010.10.023
A Bayesian Approach to Real Options: The Case of Distinguishing between Temporary and Permanent Shocks,JOURNAL OF FINANCE,2010,65,5,10.1111/j.1540-6261.2010.01599.x
A Bayesian's Bubble,JOURNAL OF FINANCE,2009,64,6,10.1111/j.1540-6261.2009.01514.x
A behavioral explanation for the negative asymmetric return-volatility relation,JOURNAL OF BANKING & FINANCE,2008,32,10,10.1016/j.jbankfin.2007.12.046
A case study of organizational form and risk shifting in the savings and loan industry,JOURNAL OF FINANCIAL ECONOMICS,1997,44,1,10.1016/S0304-405X(96)00008-6
A catering theory of dividends,JOURNAL OF FINANCE,2004,59,3,10.1111/j.1540-6261.2004.00658.x
A century of corporate takeovers: What have we learned and where do we stand?,JOURNAL OF BANKING & FINANCE,2008,32,10,10.1016/j.jbankfin.2007.12.038
A closed-form GARCH option valuation model,REVIEW OF FINANCIAL STUDIES,2000,13,3,10.1093/rfs/13.3.585
A closer look at financial development and income distribution,JOURNAL OF BANKING & FINANCE,2011,35,7,10.1016/j.jbankfin.2010.11.011
A closing call's impact on market quality at Euronext Paris,JOURNAL OF FINANCIAL ECONOMICS,2003,68,3,10.1016/S0304-405X(03)00073-4
A comparative analysis of current credit risk models,JOURNAL OF BANKING & FINANCE,2000,24,1-2,10.1016/S0378-4266(99)00053-9
A comparative anatomy of credit risk models,JOURNAL OF BANKING & FINANCE,2000,24,1-2,10.1016/S0378-4266(99)00054-0
A comparative study of structural models of corporate bond yields: An exploratory investigation,JOURNAL OF BANKING & FINANCE,2000,24,1-2,10.1016/S0378-4266(99)00059-X
A comparison of centralized and fragmented markets with costly search,JOURNAL OF FINANCE,2005,60,3,10.1111/j.1540-6261.2005.00770.x
A comparison of MAD and CVaR models with real features,JOURNAL OF BANKING & FINANCE,2008,32,7,10.1016/j.jbankfin.2006.07.015
A comparison of yield curve estimation techniques using UK data,JOURNAL OF BANKING & FINANCE,2003,27,1,10.1016/S0378-4266(01)00217-5
A compound option approach to model the interrelation between banking crises and country defaults: The case of Hungary 2008,JOURNAL OF BANKING & FINANCE,2010,34,12,10.1016/j.jbankfin.2010.07.003
A comprehensive analysis of the effects of risk measures on bank efficiency: Evidence from emerging Asian countries,JOURNAL OF BANKING & FINANCE,2011,35,7,10.1016/j.jbankfin.2010.11.017
A comprehensive analysis of the short-term interest-rate dynamics,JOURNAL OF BANKING & FINANCE,2006,30,4,10.1016/j.jbankfin.2005.05.003
A comprehensive look at the empirical performance of equity premium prediction,REVIEW OF FINANCIAL STUDIES,2008,21,4,10.1093/rfs/hhm014
A computational approach to pricing a bank credit line,JOURNAL OF BANKING & FINANCE,2011,35,6,10.1016/j.jbankfin.2010.10.002
A computational approach to the optimal structure of bank input prices,JOURNAL OF BANKING & FINANCE,2007,31,2,10.1016/j.jbankfin.2006.06.015
