original affiliation,alias
-,-
(CEPR) LONDON,CENTER FOR ECONOMIC POLICY RESEARCH
6S CAPITAL AG,6S CAPITAL
A B FREEMAN SCHOOL OF BUSINESS TULANE UNIVERSITY,TULANE UNIVERSITY
A GARY ANDERSON GRADUATE SCHOOL OF MANAGEMENT UNIVERSITY OF CALIFORNIA,"UNIVERSITY OF CALIFORNIA, RIVERSIDE"
A GARY ANDERSON GRADUATE SCHOOL OF MANAGEMENT UNIVERSITY OF CALIFORNIA RIVERSIDE,"UNIVERSITY OF CALIFORNIA, RIVERSIDE"
A GARY ANDERSON GRADUATE SCHOOL OF MANAGEMENT UNIVERSITY OF CALIFORNIA-RIVERSIDE,"UNIVERSITY OF CALIFORNIA, RIVERSIDE"
AACHEN,RWTH AACHEN UNIVERSITY
AALBORG UNIVERSITY,AALBORG UNIVERSITY
AALTO UNIVERSITY,AALTO UNIVERSITY
AALTO UNIVERSITY SCHOOL OF ECONOMICS,AALTO UNIVERSITY
AARHUS,AARHUS UNIVERSITY
AARHUS BUSINESS SCHOOL,AARHUS UNIVERSITY
AARHUS SCHOOL OF BUSINESS,AARHUS UNIVERSITY
AARHUS SCHOOL OF BUSINESS AARHUS,AARHUS UNIVERSITY
AARHUS SCHOOL OF BUSINESS AARHUS UNIVERSITY,AARHUS UNIVERSITY
AARHUS SCHOOL OF BUSINESS AARHUS UNIVERSITY DEPARTMENT OF BUSINESS STUDIES,AARHUS UNIVERSITY
AARHUS UNIVERSITY,AARHUS UNIVERSITY
AB FREEMAN SCHOOL OF BUSINESS TULANE UNIVERSITY,TULANE UNIVERSITY
AB FREEMAN SCHOOL OF BUSINESS TULANE UNIVERSITY NEW ORLEANS,TULANE UNIVERSITY
ABAXBANK MILAN,ABAXBANK MILAN
ABN AMRO BANK NV,ABN-AMRO AMSTERDAM
ABN AMRO BANK NV AMSTERDAM,ABN-AMRO AMSTERDAM
ABN AMRO DELTA ASSET MANAGEMENT GIZA,ABN-AMRO GIZA
ABN-AMRO,ABN-AMRO AMSTERDAM
ABN-AMRO BANK,ABN-AMRO AMSTERDAM
