first_name,middle_name,last_name,label,scopus_id
RAMON,RAMOS,A,RAMON RAMOS,
MIGUEL,A GARC,A-CESTONA,"García-Cestona, Miguel A.",6506921218
TOM,,AABO,"Aabo, Tom",15768832600
DAVID,,AADLAND,"Aadland, David M.",6602836339
DANIEL,,AARONSON,"Aaronson, Daniel",7003709680
MIKE,,AARSTOL,"Aarstol, Michael P.",7801527404
KNUT,K,AASE,"Aase, Knut Kristian",7003814330
PILAR,,ABAD,"Abad, Pilar",35179145400
ALBERTO,,ABADIE,"Abadie, Alberto",7003559300
KARIM,,ABADIR,"Abadir, Karim Maher",6701747240
J,,ABAFFY,"Abaffy, József",6603503831
JEFF,,ABARBANELL,"Abarbanell, Jeffery S.",6602781434
JAMES,,ABATE,"Abate, James A.",7006801498
ASHOK,,ABBOTT,"Abbott, Ashok",55944173900
TOM,,ABBOTT,TOM ABBOTT,
JAPP,,ABBRING,JAPP ABBRING,
RASHAD,,ABDEL-KHALIK,"Abdel-Khalik, A. Rashad",57189166132
TAMER,,ABDELGAWAD,TAMER ABDELGAWAD,
JULIAN,,ABDEY,JULIAN ABDEY,
NAOHITO,,ABE,"Abe, Naohito",36798324900
ANDREW,,ABEL,"Abel, Andrew B.",7004484373
ANDY,,ABEL,"Abel, Andrew B.",7004484373
ISTVAN,,ABEL,"Ábel, István",7003320874
ABHAY,,ABHYANKAR,"Abhyankar, Abhay H.",8507847000
DAVID,,ABOODY,"Aboody, David",6602515979
KHALED,,ABOU-ZIED,"Abou-Zied, Khaled",23984051200
JOHN,,ABOWD,"Abowd, John M.",6603611569
JEAN-PAUL,,ABRAHAM,JEAN-PAUL ABRAHAM,
JP,,ABRAHAMS,JP ABRAHAMS,
MARK,,ABRAHAMSON,"Abrahamson, Mark",57197267213
RAN,,ABRAMITZKY,"Abramitzky, Ran",16066560800
BURTON,,ABRAMS,"Abrams, Burton A.",7006200519
DILIP,,ABREU,"Abreu, Dilip",6603101700
MARGARIDA,,ABREU,"Abreu, Margarida",7102768679
JASON,,ABREVAYA,"Abrevaya, Jason",6603457657
YASER,,ABU-MOSTAFA,"Abu-Mostafa, Yaser S.",7004427071
BENJAMIN,A,ABUGRI,"Abugri, Benjamin A.",6504322889
RALPH,,ACAMPORA,RALPH ACAMPORA,
ANTONIO,,ACCONCIA,"Acconcia, Antonio",23491474900
DARON,,ACEMOGLU,"Acemoglu, Daron",7003483273
C,,ACERBI,"Acerbi, Carlo",6602694708
CARLO,,ACERBI,"Acerbi, Carlo",6602694708
VIRAL,,ACHARYA,"Acharya, Viral V.",7005203497
VIRAL,V,ACHARYA,"Acharya, Viral V.",7005203497
FRANK,,ACITO,"Acito, Franklin",6505957732
CARL,,ACKERMANN,"Ackermann, Carl",7005401042
LUCY,,ACKERT,"Ackert, Lucy F.",6701651018
LUCY,F,ACKERT,"Ackert, Lucy F.",6701651018
NICOLAS,L J,ACQUET,"Jacquet, Nicolas L.",22834945300
ZOLTAN,,ACS,"Ács, Zoltán J.",7005267087
ZOLTAN,J,ACS,"Ács, Zoltán J.",7005267087
TROY,,ADAIR,TROY ADAIR,
ALEXANDRE,,ADAM,"Adam, Alexandre",23501429100
KLAUS,,ADAM,"Adam, Klaus",56214762600
TIM,,ADAM,"Adam, Tim",23567455400
TIM,R,ADAM,"Adam, Tim",23567455400
TIM,RENE,ADAM,"Adam, Tim",23567455400
AXEL,,ADAM-MULLER,"Adam-Müller, Axel F.A.",6602884607
AXEL,FA,ADAM-MULLER,"Adam-Müller, Axel F.A.",6602884607
BOB,,ADAMS,"Adams, Robert M.",55451818300
BRIAN,,ADAMS,"Adams, Brian J.",28767520100
HELEN,,ADAMS,HELEN ADAMS,
JOHN,C,ADAMS,"Adams, John C.",25421246400
KLAUS,,ADAMS,KLAUS ADAMS,
KRISTIN,,ADAMS,KRISTIN ADAMS,
LAUREL,,ADAMS,"Adams, Laurel A.",7202283105
MICHAEL,,ADAMS,"Adams, Mike B.",7403905632
MIKE,,ADAMS,"Adams, Mike B.",7403905632
MIKE,B,ADAMS,"Adams, Mike B.",7403905632
RENE,,ADAMS,"Adams, Renée B.",8861838700
RENEE,,ADAMS,"Adams, Renée B.",8861838700
RENEE,B,ADAMS,"Adams, Renée B.",8861838700
ROBERT,,ADAMS,"Adams, Robert M.",55451818300
ROBERT,M,ADAMS,"Adams, Robert M.",55451818300
CHRIS,,ADCOCK,"Adcock, Chris J.",10140423600
AMR,,ADDAS,AMR ADDAS,
STEFANO,D,ADDONA,"d'Addona, Stefano",55934182700
MANUEL,,ADELINO,"Adelino, Manuel",54910109200
RICH,,ADELSTEIN,"Adelstein, Richard P.",14719060400
G,BARONE,ADESI,"Barone-Adesi, Giovanni",6602332174
GIOVANNI,BARONE,ADESI,"Barone-Adesi, Giovanni",6602332174
AJAY,,ADHIKARI,"Adhikari, Ajay",7004542992
JULIE,,ADILETTA,JULIE ADILETTA,
AMANDA,,ADKISSON,"Adkisson, J. Amanda",16433592400
BARRY,,ADLER,"Adler, Barry E.",35996215600
DENNIS,,ADLER,DENNIS ADLER,
MICHAEL,,ADLER,"Adler, Michael",36004624900
MOSHE,,ADLER,MOSHE ADLER,
ANANT,,ADMATI,"Admati, Anat R.",6507618728
ANAT,,ADMATI,"Admati, Anat R.",6507618728
ANAT,R,ADMATI,"Admati, Anat R.",6507618728
MALIN,,ADOLFSON,"Adolfson, Malin",14063129500
RALPH,,ADOLPHS,RALPH ADOLPHS,
TOBAIS,,ADRIAN,"Adrian, Tobias",7103082117
TOBIAS,,ADRIAN,"Adrian, Tobias",7103082117
ASHEESH,,ADVANI,"Advani, Asheesh",57214705162
MARC,,AERTS,"Aerts, Marc Goov",55171652900
NASIR,,AFAF,NASIR AFAF,
JOHN,,AFFLECK-GRAVES,"Affleck-Graves, John F.",6602839422
GARA,,AFONSO,"Afonso, Gara",37017243300
GARA,MINGUEZ,AFONSO,"Afonso, Gara",37017243300
AYESHA,,AFTAB,AYESHA AFTAB,
ALEXANDRE,,AGANINE,ALEXANDRE AGANINE,
ASHWINI,,AGARWAL,ASHWINI AGARWAL,
PRASUN,,AGARWAL,PRASUN AGARWAL,
SUMIT,,AGARWAL,"Agarwal, Sumit",55452891900
VIKAS,,AGARWAL,"Agarwal, Vikas",36920601600
VINEET,,AGARWAL,"Agarwal, Vineet",23033179600
DOUGLAS,,AGBETSIAFA,"Agbetsiafa, Douglas K.",7801374245
SENAY,,AGCA,"Aǧca, Şenay",6507243952
JONAS,,AGELL,"Agell, Jonas",6701392125
PIERRE,RICHARD,AGENOR,"Agénor, Pierre Richard",7004562712
PIERRE-RICHARD,,AGENOR,"Agénor, Pierre Richard",7004562712
PRASUN,,AGGARWAL,PRASUN AGARWAL,
R,,AGGARWAL,"Aggarwal, Raj",55547122997
RAJ,,AGGARWAL,"Aggarwal, Raj",55547122997
RAJ,K,AGGARWAL,"Aggarwal, Rajesh K.",7203025027
RAJESH,,AGGARWAL,"Aggarwal, Rajesh K.",7203025027
RAJESH,K,AGGARWAL,"Aggarwal, Rajesh K.",7203025027
REENA,,AGGARWAL,"Aggarwal, Reena",7203025120
SHERI,,AGGARWAL,SHERI AGGARWAL,
SUMIT,,AGGARWAL,"Agarwal, Sumit",55452891900
PHILIPPE,,AGHION,"Aghion, Philippe",7004203407
PHILLIPE,,AGHION,"Aghion, Philippe",7004203407
MICHEL,,AGLIETTA,"Aglietta, Michel",7103239361
JULIE,,AGNEW,"Agnew, Julie Richardson",15761801300
SERENA,,AGORO-MENYANG,SERENA AGORO-MENYANG,
ANTONELLO,D,AGOSTINO,"D' Agostino, Antonello",24400782500
ANUP,,AGRARWAL,"Agrawal, Anup",7202771538
ASHWINI,,AGRARWAL,"Agrawal, Ashwini K.",54787435700
ANNUP,,AGRAWAL,"Agrawal, Anup",7202771538
ANUP,,AGRAWAL,"Agrawal, Anup",7202771538
ASHWINI,,AGRAWAL,"Agrawal, Ashwini K.",54787435700
DEEPAK,,AGRAWAL,"Agrawal, Deepak",55628524411
HANNA,,AGREN,"Ågren, Hanna",15828854300
FELIPE,,AGUERREVERE,"Aguerrevere, Felipe L.",6505916392
FELIPE,L,AGUERREVERE,"Aguerrevere, Felipe L.",6505916392
MARK,,AGUIAR,"Aguiar, Mark",23392047000
LUIS,,AGUIAR-CONRARIA,"Aguiar-Conraria, Luís",12798991000
AGUSMAN,,AGUSMAN,"Agusman, Agusman",23984008500
SAM,,AGYEI-AMPOMAH,"Agyei-Ampomah, Sam",15727388200
GIL,,AHARONI,"Aharoni, Gil",55052747200
JOE,,AHARONY,"Aharony, Joseph",7801467004
BILL,,AHEARN,BILL AHEARN,
ALAN,,AHEARNE,"Ahearne, Alan G.",6504343851
KEN,,AHERN,"Ahern, Kenneth R.",26422805800
KENNETH,,AHERN,"Ahern, Kenneth R.",26422805800
CHRIS,,AHLIN,"Ahlin, Christian R.",23569525300
ANWER,,AHMED,"Ahmed, Anwer S.",55316235400
PARVEZ,,AHMED,"Ahmed, Parvez",55412195400
SHAGHIL,,AHMED,"Ahmed, Shaghil",56328881000
SHERAZ,,AHMED,"Ahmed, Sheraz",57191626225
DONG-HYUN,,AHN,"Ahn, Dong-hyun",35271267900
HEE-JOON,,AHN,"Ahn, HeeJoon",7202928363
HYUNG-SOK,,AHN,HYUNG-SOK AHN,
MIN,,AHN,MIN AHN,
SEOUNGPIL,,AHN,"Ahn, Seoungpil",7401989546
SEUNG,,AHN,"Ahn, Seoungpil",7401989546
SEUNG,CHAN,AHN,"Ahn, Seung-chan",7401989547
SUNGYOON,,AHN,"Ahn, Sungyoon",25224630100
JUKKA,,AHONEN,JUKKA AHONEN,
HOWARD,,AHRAMS,HOWARD AHRAMS,
HENGJIE,,AI,"Ai, Hengjie",55340124400
KUSUM,,AILAWADI,"Ailawadi, Kusum L.",6603152290
AZIZ,,AIMOV,AZIZ AIMOV,
SEBOUH,,AINTABLIAN,"Aintablian, Sebouh",6506570036
MARCO,,AIRAUDO,"Airaudo, Marco",55258423800
HELI-KIRSTI,,AIRISNIEMI,HELI-KIRSTI AIRISNIEMI,
EMMA,,AISBETT,"Aisbett, Emma K.",36349827500
ARI,,AISEN,"Aisen, Ari",22984200200
MOHAMED,SAFOUANE BEN,AISSA,"Aïssa, Mohamed Safouane Ben",33067530800
YACINE,,AIT-SAHALIA,"Aït-Sahalia, Yacine",6701522393
MICHAEL,,AITKEN,"Aitken, Michael J.",7102783987
MICHAEL,J,AITKEN,"Aitken, Michael J.",7102783987
MIKE,,AITKEN,"Aitken, Michael J.",7102783987
VAROUJ,,AIVAZIAN,"Aivazian, Varouj A.",6604071769
VAROUJ,A,AIVAZIAN,"Aivazian, Varouj A.",6604071769
RAO,,AIYAGARI,"Aiyagari, S. Rao",6602622886
LAKSHMI,,AIYAR,LAKSHMI AIYAR,
ANA,,AIZCORBE,"Aizcorbe, Ana M.",14023923200
JOSHUA,,AIZENMAN,"Aizenman, Joshua",7003665762
BIPIN,,AJINKYA,"Ajinkya, Bipin B.",8618531800
BASAK,,AKBEL,"Akbel, Basak",37116515300
LEVENT,,AKDENIZ,"Akdeniz, Levent",56438029900
EVRIM,,AKDOGU,"Akdoǧu, Evrim",6505688608
GEORGE,,AKERLOF,"Akerlof, George A.",6603005927
JALAL,,AKHAVEIN,"Akhavein, Jalal D.",7801467061
IMAD,AL,AKHDAR,IMAD AL AKHDAR,
A,,AKHIGBE,"Akhigbe, Aigbe O.",6701356812
AIGBE,,AKHIGBE,"Akhigbe, Aigbe O.",6701356812
SHUMI,,AKHTAR,"Akhtar, Shumi",36605723600
ALEXANDER,,AKIMOV,"Akimov, Alexandr",24390517700
OZGE,,AKINCI,"Akıncı, Özge",14036824800
FUMIO,,AKIYOSHI,"Akiyoshi, Fumio",35069108600
Q,FAROOQ,AKRAM,"Akram, Qaisar Farooq",6507367089
YUNUS,,AKSOY,"Aksoy, Yunus",7003894093
NIHAT,,AKTAS,"Aktas, Nihat",6701761271
ZAID,,AL-ALI,ZAID AL-ALI,
NAEL,,AL-ANASWAH,"Al-Anaswah, Nael",36536553100
ALEX,,AL-HASCHIMI,ALEX AL-HASCHIMI,
MAHDY,,AL-JAZZAF,"Al-Jazzaf, Mahdy I.",6508359227
SAEED,,AL-MUHARRAMI,"Al-Muharrami, Saeed",15058750300
MOHAMMAD,,AL-SUHAIBANI,"Al-Suhaibani, Mohammad I.",6506255589
KHAMIS,H,AL-YAHYAEE,"Al-Yahyaee, Khamis Hamed",35764315700
ASHRAF,,AL-ZAMAN,"Al Zaman, Ashraf",24822013900
PAUL,,ALAPAT,PAUL ALAPAT,
ARASH,,ALAVI,"Alavi, Arash",23501508500
ABAYOMI,,ALAWODE,"Alawode, Abayomi A.",6507433337
MIKE,,ALBA,MIKE ALBA,
CLAUDIO,,ALBANESE,"Albanese, Claudio",16426892400
GIORGIO,,ALBARETO,"Albareto, Giorgio",57196085773
PEDRO,,ALBARRAN,"Albarrán, Pedro",6506109060
UGO,,ALBERTAZZI,"Albertazzi, Ugo",25931431500
PETER,,ALBRECHT,"Albrecht, Peter",24781877300
BORIS,,ALBUL,BORIS ALBUL,
ANA,,ALBUQUERQUE,"Albuquerque, Ana Maria",26538622200
RUI,,ALBUQUERQUE,"Albuquerque, Rui",7005471667
MICHAEL,J,ALDERSON,"Alderson, Michael J.",7006451731
MIKE,,ALDERSON,"Alderson, Michael J.",7006451731
ERIC,,ALDRICH,"Aldrich, Eric Mark",14624883900
CARLOS,,ALEGRIA,"Alegría, Carlos Manuel",55916558300
HEITOR,,ALEMEIDA,"Almeida, Heitor V.",7006030950
